stationID,Longitude,Latitude,Year,Month,Dekad,Rainfall
9637051,36.77,-6.3,2003,1,1,21.5
9637051,36.77,-6.3,2004,1,1,19
9637051,36.77,-6.3,2005,1,1,0
9637051,36.77,-6.3,2006,1,1,0
9637051,36.77,-6.3,2007,1,1,69
9637051,36.77,-6.3,2008,1,1,0
9637051,36.77,-6.3,2009,1,1,0
9637051,36.77,-6.3,2010,1,1,30.5
9637051,36.77,-6.3,2011,1,1,34.7
9637051,36.77,-6.3,2012,1,1,10
9637051,36.77,-6.3,2013,1,1,74.5
9637051,36.77,-6.3,2014,1,1,0
9637051,36.77,-6.3,2015,1,1,10.5
9637051,36.77,-6.3,2016,1,1,27
9637051,36.77,-6.3,2017,1,1,33.5
9637051,36.77,-6.3,2018,1,1,74.5
9637051,36.77,-6.3,2019,1,1,18.5
9635012,35.7532,-6.18782,1981,1,1,18.4
9635012,35.7532,-6.18782,1982,1,1,39.4
9635012,35.7532,-6.18782,1983,1,1,96.9
9635012,35.7532,-6.18782,1984,1,1,34.6
9635012,35.7532,-6.18782,1985,1,1,5.1
9635012,35.7532,-6.18782,1986,1,1,72
9635012,35.7532,-6.18782,1987,1,1,139
9635012,35.7532,-6.18782,1988,1,1,0
9635012,35.7532,-6.18782,1989,1,1,-9999
9635012,35.7532,-6.18782,1990,1,1,42.5
9635012,35.7532,-6.18782,1991,1,1,-9999
9635012,35.7532,-6.18782,1992,1,1,-9999
9635012,35.7532,-6.18782,1993,1,1,-9999
9635012,35.7532,-6.18782,1994,1,1,-9999
9635012,35.7532,-6.18782,1995,1,1,-9999
9635012,35.7532,-6.18782,1996,1,1,-9999
9635012,35.7532,-6.18782,1997,1,1,-9999
9635012,35.7532,-6.18782,1998,1,1,-9999
9635012,35.7532,-6.18782,1999,1,1,-9999
9635012,35.7532,-6.18782,2000,1,1,-9999
9635012,35.7532,-6.18782,2001,1,1,-9999
9635012,35.7532,-6.18782,2002,1,1,-9999
9635012,35.7532,-6.18782,2003,1,1,-9999
9635012,35.7532,-6.18782,2004,1,1,-9999
9635012,35.7532,-6.18782,2005,1,1,-9999
9635012,35.7532,-6.18782,2006,1,1,-9999
9635012,35.7532,-6.18782,2007,1,1,-9999
9635012,35.7532,-6.18782,2008,1,1,0
9635012,35.7532,-6.18782,2009,1,1,33.4
9635012,35.7532,-6.18782,2010,1,1,108.6
9635012,35.7532,-6.18782,2011,1,1,64.5
9635012,35.7532,-6.18782,2012,1,1,45.8
9635012,35.7532,-6.18782,2013,1,1,59.5
9635012,35.7532,-6.18782,2014,1,1,26.1
9635012,35.7532,-6.18782,2015,1,1,20.3
9635012,35.7532,-6.18782,2016,1,1,77.1
