Stations,0601830,0601753,0601812,0601822,9636150,9636255,9636048,9637051,9635012,9636356,9637046,9637746,9637045,9737024,9637056,9637756,9633756,9638356,9633456,0601834,0601852
1982011,-99,-99,-99,-99,0,6.5,-99,0,39.4,0,20.7,24,18.5,53.2,51.5,1.1,0,-99,-99,-99,-99
1982012,-99,-99,-99,-99,0,0,-99,0,88.3,0,14.6,0,13.5,31.2,0,2.1,0,-99,-99,-99,-99
1982013,-99,-99,-99,-99,0,22.5,-99,45.7,9.8,15.1,14.9,0,39,7.4,4,10.3,31.8,-99,-99,-99,-99
1982021,-99,-99,-99,-99,3.5,19,-99,19,2.5,20,25.3,0,32,15.5,55.5,22.2,0,-99,-99,-99,-99
1982022,-99,-99,-99,-99,0,13.9,-99,20,64.3,0.3,5.3,0,9,18.3,0,16.8,16.4,-99,-99,-99,-99
1982023,-99,-99,-99,-99,0,0,-99,0,6.5,0,1.6,0,0,3.7,60,0,0,-99,-99,-99,-99
1982031,-99,-99,-99,-99,14.8,22.4,-99,21,1.5,30.9,41.3,24,73,62.5,73.5,86.2,94.3,-99,-99,-99,-99
1982032,-99,-99,-99,-99,52.9,33.8,-99,16,15.2,11.3,110.5,16.5,40,181.7,24,78.8,134.4,-99,-99,-99,-99
1982033,-99,-99,-99,-99,33.6,66.9,-99,89,48.5,41.3,39.9,0,15,71.4,29.5,24.3,42,-99,-99,-99,-99
1982041,-99,-99,-99,-99,113.8,81.5,-99,86.3,10.5,82.9,166.9,62.5,225.4,-99,82.5,186.5,115.4,-99,-99,-99,-99
1982042,-99,-99,-99,-99,83.2,107.5,-99,72.5,84.5,1.4,65.7,48,87.9,-99,38.5,27.2,168.3,-99,-99,-99,-99
1982043,-99,-99,-99,-99,58.4,68.7,-99,37,4.4,55.6,82.4,57.7,107,-99,56.5,60.8,87.9,-99,-99,-99,-99
1982051,-99,-99,-99,-99,91,58.4,-99,58.2,0,55,237.1,75.3,291,144.4,146.5,89.7,93.5,-99,-99,-99,-99
1982052,-99,-99,-99,-99,75.1,0,-99,12.7,0,10.2,50.1,33.5,70,48.8,11,16.9,14,-99,-99,-99,-99
1982053,-99,-99,-99,-99,20.9,14,-99,0,0,2.6,40.6,12,41.9,4.9,7.5,0,0,-99,-99,-99,-99
1982061,-99,-99,-99,-99,0,0,-99,0,0,0,0,0,0,0,0,1.3,7,-99,-99,-99,-99
1982062,-99,-99,-99,-99,11.7,25.5,-99,5.9,0,0.3,45.5,0,27.4,14.5,7,23.6,34,-99,-99,-99,-99
1982063,-99,-99,-99,-99,70.4,29.5,-99,8.8,0,34.5,93.4,48,135,37.3,11,20,27,-99,-99,-99,-99
1982071,-99,-99,-99,-99,9,25.5,-99,29,0,26.3,78.5,12,5,67.8,17.5,50.9,22,-99,-99,-99,-99
1982072,-99,-99,-99,-99,60.8,25.5,-99,25.5,0,21.5,59,36,146,1.6,39.5,0,54,-99,-99,-99,-99
1982073,-99,-99,-99,-99,51.9,10.8,-99,0,0,16.5,98.1,0,87.5,167.7,2,23.1,109,-99,-99,-99,-99
1982081,-99,-99,-99,-99,12.4,10.5,-99,13.4,0,0,106,0,91.8,30.6,17.5,20.7,4,-99,-99,-99,-99
1982082,-99,-99,-99,-99,25.5,0,-99,0,0,0,11.1,0,0,0,39.5,0,2,-99,-99,-99,-99
1982083,-99,-99,-99,-99,0,0,-99,0,0,0,10,0,9,42.2,2,0,7,-99,-99,-99,-99
1982091,-99,-99,-99,-99,0,0,-99,0,0,0,6.9,0,11.5,10.8,2.5,2.8,25,-99,-99,-99,-99
1982092,-99,-99,-99,-99,13.5,0,-99,0,0,0,30.1,0,50,72.4,26.5,14.2,16.5,-99,-99,-99,-99
1982093,-99,-99,-99,-99,79.4,27.8,-99,25.6,0,15.1,84.9,36,122,115.4,4.5,68.9,48.8,-99,-99,-99,-99
1982101,-99,-99,-99,-99,113.4,132.5,-99,93.1,0,43.5,6.9,48,322,375.8,117,213.1,60,-99,-99,-99,-99
1982102,-99,-99,-99,-99,77.9,20.5,-99,63.2,3.3,31.5,30.1,93,591,91.8,162.5,110.1,18,-99,-99,-99,-99
1982103,-99,-99,-99,-99,87.5,45.5,-99,51.5,0,1.6,84.9,60,129.9,150.6,38,62.4,21,-99,-99,-99,-99
1982111,-99,-99,-99,-99,47.5,0,-99,0,0,0,184.6,48,0,3.9,0,0,35.5,-99,-99,-99,-99
1982112,-99,-99,-99,-99,119.7,92.5,-99,91,16.5,47,175.2,68.2,231.5,159.1,110.3,129.2,149.7,-99,-99,-99,-99
1982113,-99,-99,-99,-99,156.4,180,-99,59.1,44,85.7,146.8,36,147.3,70.1,39.7,0,127.8,-99,-99,-99,-99
1982121,-99,-99,-99,-99,105.2,76.3,-99,15.4,43,56.4,0,24,178,286.3,54.5,193,189.5,-99,-99,-99,-99
1982122,-99,-99,-99,-99,56.9,10.5,-99,6,2,3,107.8,48,42.4,73.9,2,106.9,180.7,-99,-99,-99,-99
1982123,-99,-99,-99,-99,79.4,112,-99,140.5,113.4,197.1,91.1,60,128.5,147.6,63.5,171.7,214.8,-99,-99,-99,-99
1983011,-99,-99,-99,-99,82.8,49,-99,46.7,96.9,56.3,47.4,59.2,108,76.4,53,-99,48.8,-99,-99,-99,-99
