Stations,1KA102,1KA104,1KA112,1KA107,1KA113,1KA100,1KA103,1KA108,1KA111,1KA106,1KA115,1KA110,1KA109,1KA114,1KA105,9535005,9535006,9536004,9536017,9635012,9636013,9636020,9637045,9637047,9637048,9637052,9637043,9737024,9737026,9738016,9639030,9635002,9637033,9735014,9638028,9737030,9637002,9839005,9836002,9637077,9539016
198207,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,238.5,61.8,48,64.3,59,237.1,74,0,50.3,0,15,0,20.5,44.9,30.1,6,38.9,61.1,141.7
198208,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,100.8,10.5,0,0,21,72.8,20.7,5.2,20,0,14.4,0,15.6,5.6,11.5,7.6,10.3,11.5,62.1
198209,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,183.5,27.8,12,15.1,33.5,198.6,85.9,-99,18.5,0,45,0,44.3,65,34.2,15.3,13.1,12.9,138.9
198210,6.5,3.1,0,36.6,-99,-99,-99,-99,14.4,2.7,-99,31,-99,-99,-99,-99,-99,38.8,17.8,3.3,12.4,-99,-99,198.5,225,76.6,317.5,618.2,385.6,-99,181.2,6.5,276.4,0.6,291,239.8,187.8,68.2,336.4,105,303.3
198211,81.9,108.4,48.5,108.7,-99,-99,-99,-99,122.7,75.1,-99,144,-99,-99,-99,-99,-99,82,178.3,96.1,90.3,-99,378.8,272.5,140.2,132.7,150,233.1,129.2,-99,264.1,66.2,195.1,64.7,196.4,225.5,203.2,80.8,215.9,110,207
198212,298.4,182.2,190.7,169.7,-99,-99,-99,-99,101.6,161.4,-99,288.6,-99,-99,-99,-99,-99,158.4,164.1,200.7,182.6,-99,348.9,198.8,144,256.5,120,507.8,471.6,68.1,238.3,216.5,433.7,256.6,147.2,352.9,236.9,176.2,585.5,262.4,19.1
198301,144.6,126.6,145.4,147.2,-99,-99,-99,-99,87.4,254,-99,261.8,-99,-99,-99,-99,-99,42.2,96.4,95,39.4,-99,187,89.3,59.2,60.3,72.2,162.6,-99,84,37.2,113.5,116.4,102,11.7,131.5,38.3,116.1,486.2,14.4,19.8
198302,90.1,110.5,40.5,70.6,-99,-99,-99,-99,45.2,58.1,-99,121,-99,-99,-99,-99,-99,46.8,78.2,109.5,118.9,-99,50.5,34,0,54,60.5,164.7,-99,10.5,61.9,68,97.4,107.6,13.9,85.1,155.5,101.3,255,57,7.3
198303,159.8,139.2,68.9,202,-99,-99,-99,-99,151.6,85,-99,193,-99,-99,-99,-99,-99,61.3,62.6,84.7,78,-99,265.2,118,144.8,118.1,215,358.1,20,74.3,78,122.8,340.6,119.1,170.7,303.1,358.8,126.8,331.6,106.5,53.8
198304,11.7,34.3,1.5,75.2,-99,-99,-99,-99,25.3,11.5,-99,72.5,-99,-99,-99,-99,-99,30.7,26.5,0,23.7,-99,392.3,171.3,185.8,98,186.5,246.7,311.6,221.9,224,4.4,103.2,38.2,225.8,179.3,95.1,208.1,421,113.8,154.9
198305,3.5,19.8,1.5,1.7,-99,-99,-99,-99,3.2,0.3,-99,47,-99,-99,-99,-99,-99,16.2,39.4,6.5,5.3,-99,755.4,169.8,251.6,114.6,151,273.5,221.1,57.2,405.6,8.3,152.2,8.1,221.7,166.9,120.5,173.9,270.9,132.5,490.1
198306,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,123.5,24.4,48,30.3,18.5,70.9,77.7,0,39.4,0,9.3,0,17.2,32.1,18.6,5.5,43.9,24.6,68.4
198307,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,109.9,42.5,0,22.7,43.5,281.3,83.6,0,45.9,0,30.3,0,11,18.9,22.7,24.6,14.6,34.2,76.5
198308,0,3,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,24,0,0,3.3,10.5,30.3,6.1,0,13.9,0,0.7,0,0.4,11.8,2.1,0,0,3.2,30.8
198309,0,0.7,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,65.9,52,0,6.3,3,218.4,12.3,26,6.8,0,8.7,0.1,10,10.2,1.1,4.3,3,7.3,47.4
198310,0,35.8,4.5,8.3,-99,-99,-99,-99,4.5,0.2,-99,111.6,-99,-99,-99,-99,-99,1.2,0,0,0,-99,38,10.7,0,7.3,2.8,20.5,47.4,-99,70,0,4.6,26.2,73,0.6,5,62.2,5.9,10,18.1
198311,19.7,21.1,15.4,25.4,-99,-99,-99,-99,23.5,75.8,-99,106,-99,-99,-99,-99,-99,35.1,20.4,27.3,20.7,-99,118,35.5,0,15.4,89.5,203.3,21,-99,15.8,19.2,0,36.2,27.6,12,9.8,13.3,7.3,11.5,7.3
198312,197.7,130.8,281.5,180.8,-99,-99,-99,-99,-99,136,-99,212.9,-99,-99,-99,-99,-99,90.5,105,241.3,194.9,-99,216.5,79.5,117.5,106.9,174.5,183.3,-99,98.7,67.2,220.4,110.2,127.7,118.3,189.5,88.1,192.6,191.4,147.8,67.1
198401,209.3,169.9,116.8,296.5,-99,-99,-99,-99,370.2,207.7,-99,240,-99,-99,-99,-99,-99,63.3,103.1,132.3,124.4,-99,273,243.7,96,160.8,258,160.1,-99,0,116.4,170,171.4,152.1,73.4,189.4,101,162,374.8,186.1,0.7
198402,97.7,108.1,42,185.1,-99,-99,-99,-99,143.9,90.2,-99,151,-99,-99,-99,-99,-99,59.3,123.3,90,60.1,-99,72,93.4,32.5,118,81,205.5,-99,22.9,0,122.4,108.1,70.2,0.2,237.4,98.2,61,277.6,101.4,0
198403,177.5,107.4,3.1,78.2,-99,-99,-99,-99,69.8,132.5,-99,166,-99,-99,-99,-99,-99,79.5,32.1,37.1,35.9,-99,339.4,115.8,149.9,76.6,125,208.9,-99,18.6,128.4,64.1,100.1,74.6,202.6,289.3,81.3,151.1,479,111,57.6
198404,-99,124,134.8,32.9,-99,-99,-99,-99,162.6,28.4,-99,106,-99,-99,-99,-99,-99,50.5,79.1,71.4,71.2,-99,943,321.9,200.8,252.2,385.5,276.8,-99,361.5,441.2,117.3,168.8,92.9,368.6,382.1,147.6,248.5,423.3,297.6,459.6
198405,0,0,0,0.9,-99,-99,-99,-99,4.1,0,-99,27,-99,-99,-99,-99,-99,0,7.5,0.5,4,-99,394.5,170,17,52.9,118,187.7,-99,86.1,174.2,0,96.2,1.6,131.4,109.8,48.1,98.1,60.6,63.2,112.9
198406,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,1.8,0,0,-99,160,17.1,0,11.1,58,36.8,-99,53.9,60.1,0,11.1,0,47.1,48.9,13.4,17.7,35.2,22.9,123.4
198407,0,0,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,62,11.9,0,0,8.5,39,-99,10.5,28.4,0,65.6,0,20.4,11.6,46.4,12.9,52.1,6.5,106.2
198408,0,0,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,17,0,6.2,0,0.5,22.4,-99,7,5.1,0,42,0,1.8,4.1,16.1,0,5.5,4.1,29.6
198409,0,0,0,0,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,-99,54,8.5,0,2.1,18,39.7,-99,30.6,6.5,0,26.5,0,6.4,9.5,31.4,0,0,5.6,86.7
