Station_ID,Longitude,Latitude,Year,Month,Rainfall
1KA107,34.8186,-8.1994,1986,1,172.7
1KA107,34.8186,-8.1994,1987,1,156.5
1KA107,34.8186,-8.1994,1988,1,206.3
1KA107,34.8186,-8.1994,1989,1,285
1KA107,34.8186,-8.1994,1990,1,112.5
1KA107,34.8186,-8.1994,1998,1,-9999
1KA107,34.8186,-8.1994,1999,1,79
1KA107,34.8186,-8.1994,2000,1,128.7
1KA107,34.8186,-8.1994,2003,1,-9999
1KA107,34.8186,-8.1994,2004,1,142.9
1KA107,34.8186,-8.1994,2011,1,-9999
1KA107,34.8186,-8.1994,2012,1,88.8
1KA107,34.8186,-8.1994,2013,1,145.9
1KA107,34.8186,-8.1994,2014,1,159.4
1KA107,34.8186,-8.1994,2016,1,-9999
1KA107,34.8186,-8.1994,2017,1,75.9
1KA107,34.8186,-8.1994,2018,1,228.2
1KA113,34.7661,-9.3453,1998,1,-9999
1KA113,34.7661,-9.3453,1999,1,220.7
1KA113,34.7661,-9.3453,2000,1,126.6
1KA113,34.7661,-9.3453,2001,1,177
1KA113,34.7661,-9.3453,2002,1,100.5
1KA113,34.7661,-9.3453,2003,1,-9999
1KA113,34.7661,-9.3453,2004,1,248
1KA113,34.7661,-9.3453,2005,1,9.3
1KA113,34.7661,-9.3453,2006,1,154.5
1KA113,34.7661,-9.3453,2013,1,-9999
1KA113,34.7661,-9.3453,2016,1,353.7
1KA113,34.7661,-9.3453,2017,1,194.2
1KA113,34.7661,-9.3453,2018,1,418.3
1KA100,35.8986,-8.11,2016,1,-9999
1KA100,35.8986,-8.11,2017,1,138.8
1KA100,35.8986,-8.11,2018,1,273.8
1KA103,34.57755556,-8.896611111,2016,1,234.6
1KA103,34.57755556,-8.896611111,2017,1,60.3
1KA103,34.57755556,-8.896611111,2018,1,111.6
1KA108,35.280735,-8.310224,2017,1,145.1
1KA108,35.280735,-8.310224,2018,1,178.2
1KA111,34.9,-7.75,1981,1,26.2
1KA111,34.9,-7.75,1982,1,97.5
1KA111,34.9,-7.75,1983,1,87.4
1KA111,34.9,-7.75,1984,1,370.2
1KA111,34.9,-7.75,1985,1,-9999
1KA111,34.9,-7.75,1986,1,-9999
1KA111,34.9,-7.75,1987,1,251.6
1KA111,34.9,-7.75,1988,1,96.6
1KA111,34.9,-7.75,1989,1,140.1
1KA111,34.9,-7.75,1990,1,103.2
1KA111,34.9,-7.75,1991,1,76.6
1KA111,34.9,-7.75,1992,1,19.8
1KA111,34.9,-7.75,1993,1,172.1
1KA111,34.9,-7.75,1994,1,112
1KA111,34.9,-7.75,1995,1,222.6
1KA111,34.9,-7.75,1996,1,173.1
1KA111,34.9,-7.75,1997,1,194.3
1KA111,34.9,-7.75,1998,1,217.2
1KA111,34.9,-7.75,1999,1,53.8
1KA111,34.9,-7.75,2000,1,64
1KA111,34.9,-7.75,2001,1,298.5
1KA111,34.9,-7.75,2002,1,175.3
1KA111,34.9,-7.75,2003,1,178.8
1KA111,34.9,-7.75,2004,1,109.4
1KA111,34.9,-7.75,2005,1,51.9
1KA111,34.9,-7.75,2006,1,184.2
1KA111,34.9,-7.75,2007,1,203.5
1KA111,34.9,-7.75,2008,1,51.2
1KA111,34.9,-7.75,2009,1,101
1KA111,34.9,-7.75,2010,1,-9999
1KA111,34.9,-7.75,2011,1,56
1KA111,34.9,-7.75,2012,1,69.7
1KA111,34.9,-7.75,2013,1,-9999
1KA111,34.9,-7.75,2014,1,157.9
1KA111,34.9,-7.75,2015,1,183.8
1KA111,34.9,-7.75,2016,1,321.3
1KA111,34.9,-7.75,2017,1,75.9
1KA111,34.9,-7.75,2018,1,193.6
1KA106,34.16667,-8.83333,1981,1,100.8
1KA106,34.16667,-8.83333,1982,1,178.2
1KA106,34.16667,-8.83333,1983,1,254
1KA106,34.16667,-8.83333,1984,1,207.7
1KA106,34.16667,-8.83333,1985,1,74.2
1KA106,34.16667,-8.83333,1986,1,125.1
1KA106,34.16667,-8.83333,1987,1,212.6
1KA106,34.16667,-8.83333,1988,1,130.8
1KA106,34.16667,-8.83333,1989,1,222.2
1KA106,34.16667,-8.83333,1990,1,162.2
1KA106,34.16667,-8.83333,1991,1,138.9
1KA106,34.16667,-8.83333,1992,1,127.5
1KA106,34.16667,-8.83333,1993,1,226
1KA106,34.16667,-8.83333,1994,1,103.1
1KA106,34.16667,-8.83333,1995,1,72.6
1KA106,34.16667,-8.83333,1996,1,261.1
1KA106,34.16667,-8.83333,1997,1,212.5
1KA106,34.16667,-8.83333,1998,1,168.2
1KA106,34.16667,-8.83333,1999,1,116.6
1KA106,34.16667,-8.83333,2000,1,95.8
1KA106,34.16667,-8.83333,2001,1,206.2
1KA106,34.16667,-8.83333,2002,1,172.9
1KA106,34.16667,-8.83333,2003,1,142.4
1KA106,34.16667,-8.83333,2004,1,141.2
1KA106,34.16667,-8.83333,2005,1,163.4
1KA106,34.16667,-8.83333,2006,1,107
1KA106,34.16667,-8.83333,2007,1,198
1KA106,34.16667,-8.83333,2008,1,349.3
1KA106,34.16667,-8.83333,2009,1,82
1KA106,34.16667,-8.83333,2010,1,200.2
1KA106,34.16667,-8.83333,2011,1,114.3
1KA106,34.16667,-8.83333,2012,1,59.5
1KA106,34.16667,-8.83333,2013,1,120.9
1KA106,34.16667,-8.83333,2014,1,69.7
1KA106,34.16667,-8.83333,2015,1,154
1KA106,34.16667,-8.83333,2016,1,91.4
1KA106,34.16667,-8.83333,2017,1,-9999
1KA106,34.16667,-8.83333,2018,1,185.2
